id	verdict	shell_rc	sched_rc	emitted	stored	db_rows	available	secs	note
sci-exoarchive-ps	COLLISION	0	0	40155	40095	40095	-1	96.0	60 of 40155 emitted records collapsed onto an already-written uid (rule 4b). EITHER the declared id is a dimension, not a record key (real loss — fix id_keys) OR the upstream genuinely repeats identical records (correct dedupe — not a bug). This tool cannot tell which: fetch the url and compare distinct id values to record count before treating it as a defect
HU_INSPIRE_ORTHOIMAGERY	OK	0	0	1000	1001	1001	1000	4.5	
SI_GURS_CADASTRAL_MUN	OK	0	0	2697	2697	2697	2697	26.7	
MCC_MNC_TABLE	COLLISION	0	0	2599	2558	2558	2599	7.6	41 of 2599 emitted records collapsed onto an already-written uid (rule 4b). EITHER the declared id is a dimension, not a record key (real loss — fix id_keys) OR the upstream genuinely repeats identical records (correct dedupe — not a bug). This tool cannot tell which: fetch the url and compare distinct id values to record count before treating it as a defect
BR_BCB_EXPECTATIVAS	OK	0	0	1000	1001	1001	1000	9.0	
BR_SICONFI_RREO	OK	0	0	619	619	619	619	2.8	
BR_SICONFI_DCA	OK	0	0	301	301	301	301	2.0	
GR_OASA_LINES	EMITS_NOTHING	1	-1	0	0	0	-1	41.6	no records reached intel_items
IANA_LANGUAGE_SUBTAGS	OK	0	0	9297	9297	9297	9297	20.5	
JM_DATA_GOV_JM_CATALOG	EMITS_NOTHING	1	-1	0	0	0	-1	2.9	no records reached intel_items
CZ_NKOD_SPARQL	OK	0	0	53382	53382	53382	53382	112.0	
sci-exoarchive-stellarhosts	COLLISION	0	0	47903	44904	44904	-1	136.2	2999 of 47903 emitted records collapsed onto an already-written uid (rule 4b). EITHER the declared id is a dimension, not a record key (real loss — fix id_keys) OR the upstream genuinely repeats identical records (correct dedupe — not a bug). This tool cannot tell which: fetch the url and compare distinct id values to record count before treating it as a defect
CO_UPME_PRECIOS_MINERALES	OK	0	0	5868	5868	5868	5868	16.5	
CO_ANM_TITULOS_ANOTACIONES	OK	0	0	10000	10001	10001	10000	36.8	
CO_ANI_CONCESIONES	OK	0	0	150	150	150	150	2.5	
CO_SECOP_I_PROPONENTES	OK	0	0	10000	10001	10001	10000	16.6	
CO_SECOP_II_OFERTAS	OK	0	0	10000	10001	10001	10000	27.2	
CR_SNIT_DISTRITOS	OK	0	0	100	100	100	100	56.4	
PA_PANAMACOMPRA_RUBROS	EMITS_NOTHING	1	-1	0	0	0	-1	2.6	no records reached intel_items
PA_PANAMACOMPRA_TIPOS	EMITS_NOTHING	1	-1	0	0	0	-1	2.7	no records reached intel_items
PR_PRSN_EARTHQUAKES	OK	0	0	4	4	4	4	1.9	
JM_DKAN_NODES	EMITS_NOTHING	1	-1	0	0	0	-1	2.6	no records reached intel_items
LC_STATISTICS_RELEASES	OK	0	0	232	232	232	232	12.2	
BR_PNCP_CONTRATOS	OK	0	0	4937	4938	4938	4937	83.5	
PY_VUE_REGISTRO_EMPRESAS	OK	0	0	1000	1001	1001	1000	12.6	
CL_COORDINADOR_COSTO_MARGINAL	OK	0	0	192	192	192	192	3.7	
CO_REGISTRADURIA_RESULTADOS_2018	OK	0	0	10000	10001	10001	10000	26.2	
PISTAR_DMR_HOSTS	COLLISION	0	0	1254	1252	1252	1254	3.0	2 of 1254 emitted records collapsed onto an already-written uid (rule 4b). EITHER the declared id is a dimension, not a record key (real loss — fix id_keys) OR the upstream genuinely repeats identical records (correct dedupe — not a bug). This tool cannot tell which: fetch the url and compare distinct id values to record count before treating it as a defect
PISTAR_YSF_HOSTS	OK	0	0	1492	1492	1492	1492	3.6	
PISTAR_P25_HOSTS	OK	0	0	333	333	333	333	1.8	
PISTAR_NXDN_HOSTS	OK	0	0	316	316	316	316	2.1	
PISTAR_XLX_HOSTS	OK	0	0	890	890	890	890	4.4	
BR_ANAC_AERONAVES	COLLISION	0	0	34848	34829	34829	34848	137.7	19 of 34848 emitted records collapsed onto an already-written uid (rule 4b). EITHER the declared id is a dimension, not a record key (real loss — fix id_keys) OR the upstream genuinely repeats identical records (correct dedupe — not a bug). This tool cannot tell which: fetch the url and compare distinct id values to record count before treating it as a defect
PISTAR_M17_HOSTS	OK	0	0	107	107	107	107	1.6	
ANFR_HANDSET_SAR	OK	0	0	1229	1229	1229	1229	6.8	
