# Breach corpus seed (HIBP-style catalog snapshot). Columns: name<TAB>records<TAB>added<TAB>breach_date
# Records kept as-given (k/M/B suffixes); parser normalizes to integers. Lines starting with # are ignored.
# Authoritative refresh: scripts/fetch-breach-corpus.mjs pulls the full ~1,018 list from HIBP /api/v3/breaches.
name	records	added	breach_date
Bleach Anime Forum	143.7k	2023-11-29	2015-01
IndiHome	12.6M	2023-11-27	2019-11
Jam Tangan	434.8k	2023-11-27	2021-07
KitchenPal	98.7k	2023-11-24	2023-11
OMGPOP	7.1M	2023-11-20	2013-01
Acuity	14.1M	2023-11-15	2020-06
Avito	2.7M	2023-11-14	2022-11
Chess	1.3M	2023-11-10	2023-11
LinkedIn Scraped and Faked Data (2023)	19.8M	2023-11-07	2023-11
GamingMonk	654.5k	2023-11-05	2020-12
Fitmart	214.5k	2023-11-03	2021-10
GameSprite	6.2M	2023-10-30	2019-12
MemeChat	4.3M	2023-10-29	2022-06
Toumei	76.7k	2023-10-27	2023-10
Tunngle	8.2M	2023-10-21	2016-07
Sphero	832.3k	2023-10-20	2023-09
AndroidLista	6.6M	2023-10-17	2021-07
Phoenix	74.8k	2023-10-17	2021-06
Public Business Data	27.9M	2023-10-09	2021-08
PaySystem.tech	1.4M	2023-10-08	2022-04
Hjedd	13.2M	2023-10-05	2022-07
Activision	16k	2023-10-03	2022-12
Horse Isle	27.8k	2023-10-02	2020-09
ApexSMS	23.2M	2023-09-21	2019-04
dBforums	363.5k	2023-09-20	2016-07
MalindoAir	4.3M	2023-09-14	2019-03
Viva Air	932.2k	2023-09-11	2022-03
Dymocks	836.1k	2023-09-08	2023-06
Phished Data via CERT Poland	67.9k	2023-08-31	2023-02
Pampling	383.5k	2023-08-31	2020-01
PlayCyberGames	3.7M	2023-08-31	2023-08
Qakbot	6.4M	2023-08-29	2023-08
SevenRooms	1.2M	2023-08-24	2022-12
Duolingo	2.7M	2023-08-23	2023-01
Atmeltomo	580.2k	2023-08-22	2021-04
ECCIE	536.9k	2023-08-21	2021-07
iMenu360	3.4M	2023-08-17	2022-08
Manipulated Caiman	39.9M	2023-08-15	2023-07
Jobzone	29.7k	2023-08-15	2023-04
Rightbiz	65.4k	2023-08-10	2023-07
CraftRise	2.5M	2023-08-08	2022-03
MagicDuel	138.4k	2023-08-02	2023-08
BreachForums	212.2k	2023-07-26	2022-11
BookCrossing	1.6M	2023-07-25	2012-11
Tigo	700.4k	2023-07-24	2023-03
Roblox	52.5k	2023-07-23	2016-07
Roblox Developer Conference (2023)	3.9k	2023-07-18	2020-12
Vermillion	8.1k	2023-07-11	2014-08
Locally	362.6k	2023-07-10	2022-10
BreachForums Clone	4.2k	2023-06-25	2023-06
Zacks	8.9M	2023-06-10	2020-05
JD Group	521.9k	2023-06-05	2023-05
RaidForums	478.6k	2023-05-31	2020-09
Polish Credentials	1.2M	2023-05-30	2023-05
Luxottica	77.1M	2023-05-19	2021-03
RentoMojo	2.2M	2023-05-10	2023-04
CityJerks	177.6k	2023-04-27	2023-02
MEO	8.2k	2023-04-24	2020-12
Terravision	2.1M	2023-04-23	2023-02
OGUsers (2022 breach)	529k	2023-04-14	2022-07
The Kodi Foundation	400.6k	2023-04-13	2023-02
Genesis Market	8M	2023-04-05	2023-04
Sundry Files	274.5k	2023-03-31	2022-01
Leaked Reality	114.9k	2023-03-31	2022-01
TheGradCafe	311k	2023-03-24	2023-02
Shopper+	878.3k	2023-03-11	2020-09
HDB Financial Services	1.7M	2023-03-11	2023-02
Eye4Fraud	16M	2023-03-06	2023-01
iD Tech	415.1k	2023-03-06	2023-01
LBB	39.3k	2023-03-05	2019-02
GunAuction.com	565.5k	2023-03-02	2022-12
Convex	150.1k	2023-02-26	2023-02
RealDudesInc	101.5k	2023-02-19	2022-10
Weee	1.1M	2023-02-08	2022-07
